"Identificador","Nombre","Fecha matrícula","Vigencia en meses","Tipo de organización","Fecha de inicio de actividad","Cantidad de asistentes","Cantidad de responsables","Poblacion asistida","Comidas ofrecidas","Fecha de registro","Tipo de georreferenciación","Latitud","Longitud","Municipio","Localidad","Calle","Altura","Entre calle 2","Entre calle 2","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio"
444,"centro social cultural y deportivo Once de Mayo","",,"Comedor","1997-05-11",165,5,"Jóvenes (18 a 29 años) , Adolescentes (13 a 17 años), Niñas y Niños, Adultos, Adultos Mayores","Merienda, Cena","2022-06-27 19:19:06",1,-32.95171346,-60.71737444,"","ROSARIO","PJE LINNEO","7151","GUATEMALA A","MEJICO","82","Santa Fe","82084","Rosario","820843212"
178,"Nuestra Señora de la Consolación","",,"Comedor","2003-03-01",480,5,"Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Almuerzo","2021-01-06 19:09:48",1,-32.95362484,-60.68799027,"","ROSARIO","CERRITO","4463","SERVANDO BAYO","PASCUAL ROSAS","82","Santa Fe","82084","Rosario","820843415"
95,"Mensajeros de Jesús","",,"Comedor","2003-03-01",360,5,"Niñas y Niños, Adultos, Adultos Mayores","Almuerzo, Merienda","2021-01-06 18:54:41",1,-32.95851593,-60.6925057,"","ROSARIO","AV PRES PERON","5020","Felipe Moré","PJE GUTEMBERG","82","Santa Fe","82084","Rosario","820843502"
351,"Centro Comunitario La Esperanza","",,"Comedor","2001-01-01",2,4,"Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Almuerzo","2020-09-17 17:46:53",1,-32.96221301,-60.68354696,"Santa Fe","ROSARIO","LAVALLE","2749","ALSINA","BV AVELLANEDA","82","Santa Fe","82084","Rosario","820843510"
23,"INSTITUTO PARA EL DESARROLLO COMUNITARIO","",,"Comedor","2002-01-10",180,5,"Niñas y Niños, Adultos, Adultos Mayores","Cena","2020-08-27 21:00:47",1,-32.96429889,-60.68871087,"","ROSARIO","AMENABAR","4325","VALPARAISO","LIMA","82","Santa Fe","82084","Rosario","820843512"
610,"San francisquito de los pobres","",,"Comedor","1989-05-08",250,5,"Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Almuerzo","2020-08-28 00:33:42",2,-32.964821,-60.683499,"Santa Fe","ROSARIO","AMENABAR","3952","ALSINA","LAVALLE","82","Santa Fe","82084","Rosario","820848502"
177,"María Madre de la Esperanza","",,"Comedor","2003-03-01",217,5,"Niñas y Niños, Adultos","Merienda","2021-01-06 19:29:12",1,-32.96420714,-60.62895886,"","ROSARIO","CERRITO","164 bis","NECOCHEA","CHACABUCO","82","Santa Fe","82084","Rosario","820844009"
483,"Centro comunitario la nueva esperanza","",,"Comedor","2003-03-10",180,4,"Niñas y Niños, Adultos Mayores","Desayuno, Almuerzo","2020-08-28 15:20:06",1,-32.97561927,-60.70087284,"Santa Fe","SANTA FE","ROUILLON","4000","giachino","doctor riva y centeno","82","Santa Fe","82084","Rosario","820844910"
1994,"Club Atlético Biedma","",,"Comedor","2004-05-08",279,2,"Niñas y Niños, Adultos Mayores","Cena","2020-09-05 23:10:52",4,-32.9796838,-60.6765664,"","ROSARIO","VERA MUJICA","4091","CENTENO","DR RIVAS","82","Santa Fe","82084","Rosario","820844712"
1771,"El Progreso","",,"Comedor","2003-04-07",205,5,"Niñas y Niños, Adultos, Adultos Mayores","Almuerzo, Merienda","2020-07-28 16:49:53",4,-32.9847335,-60.6282114,"Santa Fe","ROSARIO","ABANDERADO GRANDOLI","3765","BIEDMA","24 DE SETIEMBRE","82","Santa Fe","82084","Rosario","820844202"
